"description","amount","unit","kCalories","protein","carbohydrates","fat","vitA","vitB1","vitB2","vitB3","vitB5","vitB6","vitB9","vitB12","vitC","vitD","vitE","vitK","choline","calcium","copper","iron","magnesium","manganese","phosphorus","potassium","selenium","sodium","zinc","water","fiber","cholesterol","saturatedFat","monoUnsaturatedFat","polyUnsaturatedFat","glycemicIndex","comments",
"Aceituna de botija P.C.",100,"gr","321.30","0.8","7.3","32.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,86,0,"2.40",0,0,55,0,0,0,"0.0","57.5",0,0,0,0,0,0,0,0,
"Aceitunas negras preparadas P.C.",100,"gr","331.60","2.2","30.3","22.4",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,67,0,"7.40",0,0,63,0,0,0,"0.22","41.0",0,0,0,0,0,0,0,0,
"Aguaje P.C.",100,"gr","307.50","2.3","18.1","25.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,74,0,"0.70",0,0,27,0,0,0,"0.0","53.6",0,0,0,0,0,0,0,0,
"Melocotón-Durazno-Blanquillo P.C.",100,"gr","71.70","0.6","17.1","0.1",0,0,0,0,0,0,0,0,"15.30",0,0,0,0,4,0,"0.30",0,0,22,0,0,0,"0.17","81.7",0,0,0,0,0,0,0,0,
"Camu-camu P.C.",100,"gr","26.50","0.5","5.9","0.1",0,0,0,0,0,0,0,0,"2780.00",0,0,0,0,28,0,"0.50",0,0,15,0,0,0,"0.0","93.3",0,0,0,0,0,0,0,0,
"Chirimoya P.C.",100,"gr","97.00","1.2","22.6","0.2",0,0,0,0,0,0,0,0,"3.30",0,0,0,0,20,0,"0.70",0,0,63,0,0,0,"0.18","75.1",0,0,0,0,0,0,0,0,
"Ciruela P.C.",100,"gr","91.80","1.0","21.5","0.2",0,0,0,0,0,0,0,0,"36.80",0,0,0,0,20,0,"0.90",0,0,53,0,0,0,"0.0","76.3",0,0,0,0,0,0,0,0,
"Coco P.C.",100,"gr","309.70","3.4","10.8","28.1",0,0,0,0,0,0,0,0,"0.90",0,0,0,0,8,0,"1.80",0,0,51,0,0,0,"0.25","56.4",0,0,0,0,0,0,0,0,
"Coco, agua de",100,"gr","16.10","0.7","3.1","0.1",0,0,0,0,0,0,0,0,"0.80",0,0,0,0,21,0,"0.00",0,0,7,0,0,0,"0.10","95.5",0,0,0,0,0,0,0,0,
"Cocona P.C.",100,"gr","46.70","0.9","9.2","0.7",0,0,0,0,0,0,0,0,"4.50",0,0,0,0,16,0,"1.50",0,0,30,0,0,0,"0.0","88.5",0,0,0,0,0,0,0,0,
"Fresa P.C.",100,"gr","45.60","0.7","8.9","0.8",0,0,0,0,0,0,0,0,"42.00",0,0,0,0,37,0,"1.20",0,0,28,0,0,0,"0.14","89.1",0,0,0,0,0,0,0,0,
"Guanábana P.C.",100,"gr","62.60","0.9","14.3","0.2",0,0,0,0,0,0,0,0,"19.00",0,0,0,0,38,0,"0.70",0,0,43,0,0,0,"0.10","84.0",0,0,0,0,0,0,0,0,
"Higo negro P.C.",100,"gr","84.10","0.9","19.9","0.1",0,0,0,0,0,0,0,0,"2.90",0,0,0,0,58,0,"0.80",0,0,43,0,0,0,"0.15","78.0",0,0,0,0,0,0,0,0,
"Higo seco P.C.",100,"gr","202.60","3.6","46.6","0.2",0,0,0,0,0,0,0,0,"3.70",0,0,0,0,109,0,"2.40",0,0,100,0,0,0,"0.55","47.7",0,0,0,0,0,0,0,0,
"Lima P.C.",100,"gr","29.60","0.6","5.9","0.4",0,0,0,0,0,0,0,0,"36.00",0,0,0,0,31,0,"0.20",0,0,9,0,0,0,"0.11","92.8",0,0,0,0,0,0,0,0,
"Limón, jugo de",100,"gr","42.60","0.5","9.7","0.2",0,0,0,0,0,0,0,0,"44.20",0,0,0,0,18,0,"0.50",0,0,14,0,0,0,"0.05","89.3",0,0,0,0,0,0,0,0,
"Lúcuma P.C.",100,"gr","110.50","1.5","25.0","0.5",0,0,0,0,0,0,0,0,"2.20",0,0,0,0,16,0,"0.40",0,0,26,0,0,0,"0.0","72.3",0,0,0,0,0,0,0,0,
"Lúcuma, harina de",100,"gr","365.60","4.0","82.0","2.4",0,0,0,0,0,0,0,0,"11.60",0,0,0,0,92,0,"4.60",0,0,186,0,0,0,"0.0","9.3",0,0,0,0,0,0,0,0,
"Mandarina P.C.",100,"gr","39.50","0.6","8.6","0.3",0,0,0,0,0,0,0,0,"48.70",0,0,0,0,19,0,"0.30",0,0,17,0,0,0,"0.07","90.1",0,0,0,0,0,0,0,0,
"Mango P.C.",100,"gr","67.00","0.4","15.9","0.2",0,0,0,0,0,0,0,0,"24.80",0,0,0,0,17,0,"0.40",0,0,15,0,0,0,"0.04","83.0",0,0,0,0,0,0,0,0,
"Manzana nacional P.C.",100,"gr","60.50","0.3","14.6","0.1",0,0,0,0,0,0,0,0,"1.30",0,0,0,0,5,0,"1.40",0,0,11,0,0,0,"0.05","84.7",0,0,0,0,0,0,0,0,
"Maracuyá, jugo puro de",100,"gr","68.90","0.9","16.1","0.1",0,0,0,0,0,0,0,0,"22.00",0,0,0,0,13,0,"3.00",0,0,30,0,0,0,"0.06","82.3",0,0,0,0,0,0,0,0,
"Melón P.C.",100,"gr","26.10","0.5","5.8","0.1",0,0,0,0,0,0,0,0,"23.00",0,0,0,0,13,0,"0.50",0,0,15,0,0,0,"0.09","92.9",0,0,0,0,0,0,0,0,
"Melón enano P.C.",100,"gr","21.80","0.6","4.4","0.2",0,0,0,0,0,0,0,0,"15.30",0,0,0,0,23,0,"0.40",0,0,3,0,0,0,"0.0","94.3",0,0,0,0,0,0,0,0,
"Membrillo P.C.",100,"gr","48.10","0.3","11.5","0.1",0,0,0,0,0,0,0,0,"12.50",0,0,0,0,9,0,"0.70",0,0,29,0,0,0,"0.04","86.9",0,0,0,0,0,0,0,0,
"Naranja P.C.",100,"gr","44.60","0.6","10.1","0.2",0,0,0,0,0,0,0,0,"92.30",0,0,0,0,23,0,"0.20",0,0,51,0,0,0,"0.07","88.5",0,0,0,0,0,0,0,0,
"Naranja agria, jugo de",100,"gr","36.60","0.5","8.2","0.2",0,0,0,0,0,0,0,0,"42.00",0,0,0,0,31,0,"0.20",0,0,9,0,0,0,"0.07","90.7",0,0,0,0,0,0,0,0,
"Naranja de Huando P.C.",100,"gr","50.20","1.2","10.9","0.2",0,0,0,0,0,0,0,0,"43.90",0,0,0,0,30,0,"0.10",0,0,17,0,0,0,"0.07","87.3",0,0,0,0,0,0,0,0,
"Níspero P.C.",100,"gr","52.00","0.3","12.7","0.0",0,0,0,0,0,0,0,0,"1.20",0,0,0,0,21,0,"0.30",0,0,16,0,0,0,"0.05","86.5",0,0,0,0,0,0,0,0,
"Pacae  ó Guaba P.C.",100,"gr","62.50","0.6","14.8","0.1",0,0,0,0,0,0,0,0,"1.40",0,0,0,0,14,0,"0.40",0,0,30,0,0,0,"0.0","84.1",0,0,0,0,0,0,0,0,
"Palta P.C.",100,"gr","141.70","1.7","5.6","12.5",0,0,0,0,0,0,0,0,"6.80",0,0,0,0,30,0,"0.60",0,0,67,0,0,0,"0.64","79.2",0,0,0,0,0,0,0,0,
"Papaya P.C.",100,"gr","35.30","0.4","8.2","0.1",0,0,0,0,0,0,0,0,"47.70",0,0,0,0,23,0,"0.30",0,0,14,0,0,0,"0.07","90.8",0,0,0,0,0,0,0,0,
"Pasas sin pepas",100,"gr","268.40","2.4","63.8","0.4",0,0,0,0,0,0,0,0,"2.30",0,0,0,0,64,0,"3.70",0,0,91,0,0,0,"0.22","31.6",0,0,0,0,0,0,0,0,
"Pepino dulce P.C.",100,"gr","29.20","0.3","7.0","0.0",0,0,0,0,0,0,0,0,"29.70",0,0,0,0,30,0,"0.30",0,0,10,0,0,0,"0.0","92.3",0,0,0,0,0,0,0,0,
"Pera chilena P.C.",100,"gr","54.90","0.3","13.2","0.1",0,0,0,0,0,0,0,0,"1.90",0,0,0,0,4,0,"0.30",0,0,16,0,0,0,"0.10","86.0",0,0,0,0,0,0,0,0,
